0;5000;10000;15000;
10805;6116;3163;5633;2016-04-19 17:42:59.095000
nan;6090;3121;5575;2016-04-19 17:42:59.204000
nan;6111;3175;5637;2016-04-19 17:42:59.314000
nan;6089;3156;5559;2016-04-19 17:42:59.439000
10832;6075;3074;5651;2016-04-19 17:42:59.564000
10776;6052;3057;5632;2016-04-19 17:42:59.689000
10773;6072;3168;5723;2016-04-19 17:42:59.814000
nan;6080;3105;5701;2016-04-19 17:42:59.923000
10775;6053;3165;5697;2016-04-19 17:43:00.033000
10741;6048;3113;5710;2016-04-19 17:43:00.173000
10707;6060;3234;5701;2016-04-19 17:43:00.298000
10688;6058;3230;5793;2016-04-19 17:43:00.423000
10668;6015;3249;5797;2016-04-19 17:43:00.548000
10718;6030;3174;5830;2016-04-19 17:43:00.673000
10699;6049;3221;nan;2016-04-19 17:43:00.798000
10679;6022;3194;nan;2016-04-19 17:43:00.923000
10650;5984;nan;5850;2016-04-19 17:43:01.048000
10650;5959;3221;5850;2016-04-19 17:43:01.189000
10628;5920;3238;5870;2016-04-19 17:43:01.298000
10645;5901;3287;5827;2016-04-19 17:43:01.408000
10604;5877;3266;5814;2016-04-19 17:43:01.548000
10581;5883;3276;nan;2016-04-19 17:43:01.673000
10554;5878;3247;5887;2016-04-19 17:43:01.798000
10538;5896;3245;5900;2016-04-19 17:43:01.923000
10513;5821;3227;5898;2016-04-19 17:43:02.048000
10552;5857;3258;5987;2016-04-19 17:43:02.173000
10548;5854;3296;5971;2016-04-19 17:43:02.298000
10565;5882;nan;nan;2016-04-19 17:43:02.423000
10547;5856;3775;6442;2016-04-19 17:43:02.548000
10522;5864;3190;6569;2016-04-19 17:43:02.673000
10462;5854;3176;6536;2016-04-19 17:43:02.783000
10429;5815;3207;6070;2016-04-19 17:43:02.923000
10425;5800;3120;6207;2016-04-19 17:43:03.048000
10425;5802;3220;6012;2016-04-19 17:43:03.173000
10428;5783;3218;6141;2016-04-19 17:43:03.298000
nan;5781;3215;6148;2016-04-19 17:43:03.408000
10434;5720;3248;6115;2016-04-19 17:43:03.533000
10444;5724;3257;6068;2016-04-19 17:43:03.658000
10411;5724;3190;6029;2016-04-19 17:43:03.783000
10411;5752;nan;6075;2016-04-19 17:43:03.908000
10356;5738;3142;6180;2016-04-19 17:43:04.017000
10352;5703;3229;6213;2016-04-19 17:43:04.126000
10307;5717;nan;6180;2016-04-19 17:43:04.251000
10274;5714;3193;6189;2016-04-19 17:43:04.376000
nan;5699;3163;6184;2016-04-19 17:43:04.501000
nan;5701;3250;6165;2016-04-19 17:43:04.611000
nan;5701;3179;6179;2016-04-19 17:43:04.720000
nan;5687;3200;6261;2016-04-19 17:43:04.830000
10287;5662;3262;6326;2016-04-19 17:43:04.970000
10261;5665;nan;6342;2016-04-19 17:43:05.095000
10282;nan;nan;6311;2016-04-19 17:43:05.220000
10234;5642;3226;6323;2016-04-19 17:43:05.330000
10215;5659;3312;6376;2016-04-19 17:43:05.439000
10151;5636;3290;6242;2016-04-19 17:43:05.564000
10192;5663;3289;6418;2016-04-19 17:43:05.689000
10172;5638;3441;6573;2016-04-19 17:43:05.814000
10153;5563;3228;nan;2016-04-19 17:43:05.939000
10147;5598;nan;7013;2016-04-19 17:43:06.048000
10146;5564;3267;nan;2016-04-19 17:43:06.158000
10105;5541;nan;6332;2016-04-19 17:43:06.283000
10093;nan;3289;6344;2016-04-19 17:43:06.408000
10053;nan;3243;6432;2016-04-19 17:43:06.533000
10064;nan;3309;6391;2016-04-19 17:43:06.658000
10049;5697;3235;6364;2016-04-19 17:43:06.767000
10050;nan;3283;6369;2016-04-19 17:43:06.876000
10023;nan;3306;6394;2016-04-19 17:43:07.017000
10040;nan;3304;6517;2016-04-19 17:43:07.142000
nan;nan;3373;6550;2016-04-19 17:43:07.267000
nan;nan;3400;6542;2016-04-19 17:43:07.376000
nan;nan;3339;6662;2016-04-19 17:43:07.486000
nan;nan;3318;nan;2016-04-19 17:43:07.611000
nan;nan;3340;nan;2016-04-19 17:43:07.736000
nan;nan;3465;nan;2016-04-19 17:43:07.861000
nan;nan;3285;nan;2016-04-19 17:43:07.970000
nan;nan;3346;6566;2016-04-19 17:43:08.080000
nan;nan;3430;6602;2016-04-19 17:43:08.189000
nan;nan;3507;6624;2016-04-19 17:43:08.314000
nan;nan;3426;6725;2016-04-19 17:43:08.439000
nan;nan;3474;6732;2016-04-19 17:43:08.564000
nan;nan;3427;6685;2016-04-19 17:43:08.673000
nan;nan;3463;6642;2016-04-19 17:43:08.783000
nan;nan;nan;nan;2016-04-19 17:43:08.892000
9874;nan;3282;6813;2016-04-19 17:43:09.017000
nan;nan;3522;6924;2016-04-19 17:43:09.142000
nan;nan;3432;6944;2016-04-19 17:43:09.267000
nan;nan;3520;6835;2016-04-19 17:43:09.376000
nan;nan;3380;6760;2016-04-19 17:43:09.486000
