0;2500;5000;7500;10000;12500;15000;17500;20000;22500;
3650;nan;3542;5849;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:39.817000
3678;2477;3522;5814;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:40.057000
3691;2507;nan;5807;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:40.297000
3758;nan;3542;5773;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:40.489000
3780;nan;3491;5788;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:40.729000
3802;nan;3456;5787;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:40.921000
3784;nan;3380;5756;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:41.145000
3794;nan;3408;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:41.337000
3836;2521;3344;5690;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:41.576000
3847;nan;3436;5625;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:41.768000
3904;nan;3462;5619;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:41.992000
3881;nan;nan;5632;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:42.216000
3925;nan;3314;5642;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:42.456000
nan;nan;3322;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:42.696000
3935;nan;nan;5583;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:42.919000
nan;nan;3349;5557;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:43.111000
3954;nan;3263;5480;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:43.351000
3969;nan;3246;5465;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:43.591000
4036;nan;3218;5393;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:43.831000
4037;nan;3217;5454;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:44.070000
4069;nan;nan;5559;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:44.311000
4091;nan;3226;5527;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:44.502000
4154;nan;3128;5530;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:44.726000
4140;nan;3164;5471;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:44.918000
