0;5000;10000;15000;20000;25000;30000;35000;40000;45000;
nan;2783;7018;11638;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:07.985000
4717;2827;7014;11596;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:08.224000
4679;nan;6958;11576;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:08.465000
4722;2683;nan;11549;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:08.705000
nan;2729;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:08.896000
4708;2633;6927;11528;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:09.136000
4787;2691;6925;11445;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:09.376000
4741;2681;nan;11438;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:09.616000
4796;2692;6827;11359;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:09.856000
4818;2625;6870;11397;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:10.048000
4835;2651;nan;11350;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:10.288000
4835;2695;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:10.527000
4850;2517;6831;11344;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:10.783000
4946;2617;6751;11262;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:11.023000
4944;2566;nan;11247;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:11.263000
4923;2574;6728;11184;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:11.503000
5000;2585;6611;11241;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:11.743000
4990;2589;6624;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:11.999000
5047;2609;6665;11210;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:12.238000
nan;2611;6638;11203;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:12.478000
5037;2596;6657;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:12.718000
nan;2526;6543;11130;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:12.958000
5074;2511;6525;11174;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:13.150000
5050;2598;nan;11111;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:13.390000
5113;2599;6463;11148;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:13.629000
5097;2571;6390;11050;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:13.869000
